inventory_id,branch_id,part_name,unit_cost,quantity_on_hand,reorder_level,last_restock_date
1,1,Oil Filter,219.18,47,15,2026-06-11
2,1,Brake Pad Set,109.04,47,20,2026-07-21
3,1,Car Battery,212.33,117,10,2026-07-05
4,1,Spark Plug,91.87,114,20,2026-07-28
5,1,Air Filter,13.57,45,15,2026-08-06
6,1,Wiper Blade,55.56,89,25,2026-08-10
7,1,Coolant (1 Gal),208.4,55,10,2026-07-02
8,1,Tire,10.92,117,15,2026-08-16
9,1,Serpentine Belt,123.75,111,10,2026-08-28
10,1,Alternator,24.03,14,25,2026-06-18
11,1,Radiator Hose,68.72,101,25,2026-07-02
12,1,Fuel Pump,26.68,25,25,2026-06-28
13,1,Headlight Bulb,190.22,37,20,2026-07-23
14,1,Cabin Air Filter,133.31,29,20,2026-08-13
15,1,Shock Absorber,199.25,40,15,2026-08-13
16,2,Oil Filter,153.93,9,25,2026-06-07
17,2,Brake Pad Set,213.86,114,25,2026-06-20
18,2,Car Battery,116.09,147,25,2026-08-22
19,2,Spark Plug,143.41,30,10,2026-08-01
20,2,Air Filter,130.18,140,10,2026-08-24
21,2,Wiper Blade,110.66,128,10,2026-07-26
22,2,Coolant (1 Gal),187.34,7,15,2026-06-09
23,2,Tire,144.64,75,10,2026-09-02
24,2,Serpentine Belt,177.88,26,15,2026-07-01
25,2,Alternator,174.71,134,15,2026-09-02
26,2,Radiator Hose,48.5,78,25,2026-07-26
27,2,Fuel Pump,145.83,23,10,2026-08-23
28,2,Headlight Bulb,50.33,89,10,2026-09-01
29,2,Cabin Air Filter,131.66,8,10,2026-07-04
30,2,Shock Absorber,151.62,63,15,2026-07-12
31,3,Oil Filter,219.41,73,25,2026-07-09
32,3,Brake Pad Set,14.47,90,20,2026-07-07
33,3,Car Battery,27.34,140,20,2026-08-08
34,3,Spark Plug,24.33,139,10,2026-07-04
35,3,Air Filter,92.45,88,25,2026-06-21
36,3,Wiper Blade,182.18,136,15,2026-08-14
37,3,Coolant (1 Gal),186.94,147,20,2026-08-19
38,3,Tire,164.24,20,25,2026-08-31
39,3,Serpentine Belt,198.14,27,25,2026-07-15
40,3,Alternator,76.45,44,10,2026-06-27
41,3,Radiator Hose,26.69,33,10,2026-07-24
42,3,Fuel Pump,20.33,62,20,2026-07-22
43,3,Headlight Bulb,188.65,20,25,2026-06-16
44,3,Cabin Air Filter,162.85,102,10,2026-07-23
45,3,Shock Absorber,156.11,93,15,2026-08-11
46,4,Oil Filter,80.01,75,10,2026-06-13
47,4,Brake Pad Set,88.54,2,25,2026-07-24
48,4,Car Battery,211.12,18,15,2026-07-26
49,4,Spark Plug,21.53,25,25,2026-08-27
50,4,Air Filter,172.03,147,25,2026-07-24
51,4,Wiper Blade,73.64,83,15,2026-08-18
52,4,Coolant (1 Gal),16.28,118,15,2026-07-08
53,4,Tire,165.42,76,15,2026-08-28
54,4,Serpentine Belt,78.15,66,25,2026-07-27
