item_id,order_id,service_name,category,quantity,unit_price,labor_hours,discount_pct,line_total
1,1,Oil Change,Maintenance,2,42.7,0.5,0,85.4
2,2,Tire Rotation,Maintenance,1,27.02,0.4,5,25.67
3,2,Coolant Flush,Maintenance,2,92.17,1.0,0,184.34
4,2,Oil Change,Maintenance,2,40.77,0.5,10,73.39
5,3,Coolant Flush,Maintenance,1,100.83,1.0,5,95.79
6,5,Windshield Wiper Replacement,Maintenance,1,28.33,0.2,0,28.33
7,5,Oil Change,Maintenance,1,51.08,0.5,5,48.53
8,6,Tire Replacement (set of 4),Repair,1,705.86,1.5,5,670.57
9,8,Brake Pad Replacement,Repair,1,203.17,1.5,10,182.85
10,9,Full Inspection,Diagnostic,1,59.55,0.8,5,56.57
11,9,Transmission Service,Repair,1,225.97,2.5,0,225.97
12,10,Wheel Alignment,Maintenance,1,101.89,1.0,0,101.89
13,10,Tire Replacement (set of 4),Repair,1,624.37,1.5,0,624.37
14,10,Brake Pad Replacement,Repair,1,205.5,1.5,0,205.5
15,10,Full Inspection,Diagnostic,1,68.45,0.8,0,68.45
16,11,Tire Replacement (set of 4),Repair,1,690.22,1.5,0,690.22
17,12,Battery Replacement,Repair,1,146.04,0.5,0,146.04
18,12,Brake Pad Replacement,Repair,1,179.33,1.5,0,179.33
19,13,Tire Rotation,Maintenance,1,27.82,0.4,0,27.82
20,13,Wheel Alignment,Maintenance,1,88.13,1.0,0,88.13
21,14,Engine Diagnostic,Diagnostic,1,94.24,1.0,5,89.53
22,16,Windshield Wiper Replacement,Maintenance,2,31.18,0.2,5,59.24
23,17,Wheel Alignment,Maintenance,1,102.06,1.0,0,102.06
24,17,Battery Replacement,Repair,1,161.1,0.5,0,161.1
25,18,Transmission Service,Repair,1,260.63,2.5,5,247.6
26,18,Spark Plug Replacement,Repair,1,120.16,1.2,0,120.16
27,21,Battery Replacement,Repair,1,158.06,0.5,0,158.06
28,22,Tire Replacement (set of 4),Repair,1,711.46,1.5,10,640.31
29,22,Suspension Repair,Repair,1,299.21,3.0,0,299.21
30,23,Engine Diagnostic,Diagnostic,1,102.96,1.0,0,102.96
31,23,Oil Change,Maintenance,1,50.37,0.5,15,42.81
32,25,Oil Change,Maintenance,2,48.83,0.5,10,87.89
33,26,Coolant Flush,Maintenance,1,102.05,1.0,15,86.74
34,27,Full Inspection,Diagnostic,1,64.54,0.8,0,64.54
35,28,AC Recharge,Repair,1,118.78,1.0,0,118.78
36,28,Coolant Flush,Maintenance,2,92.47,1.0,0,184.94
37,29,Tire Rotation,Maintenance,1,27.56,0.4,0,27.56
38,29,Engine Diagnostic,Diagnostic,1,110.25,1.0,15,93.71
39,29,Brake Pad Replacement,Repair,1,201.02,1.5,0,201.02
40,30,Coolant Flush,Maintenance,1,107.19,1.0,0,107.19
41,30,Engine Diagnostic,Diagnostic,1,102.78,1.0,5,97.64
42,31,Tire Rotation,Maintenance,1,25.63,0.4,0,25.63
43,33,Full Inspection,Diagnostic,1,65.97,0.8,0,65.97
44,33,Coolant Flush,Maintenance,2,100.94,1.0,5,191.79
45,33,Wheel Alignment,Maintenance,1,96.79,1.0,0,96.79
46,34,Coolant Flush,Maintenance,1,104.4,1.0,0,104.4
47,35,Spark Plug Replacement,Repair,1,145.93,1.2,0,145.93
48,36,Tire Replacement (set of 4),Repair,1,610.39,1.5,10,549.35
49,36,Tire Rotation,Maintenance,1,24.85,0.4,0,24.85
50,37,Engine Diagnostic,Diagnostic,1,92.35,1.0,0,92.35
51,37,Tire Rotation,Maintenance,2,26.11,0.4,0,52.22
52,37,Wheel Alignment,Maintenance,1,81.81,1.0,5,77.72
53,38,Tire Replacement (set of 4),Repair,1,630.17,1.5,5,598.66
54,40,Windshield Wiper Replacement,Maintenance,1,31.07,0.2,0,31.07
55,41,AC Recharge,Repair,1,116.6,1.0,0,116.6
56,41,Brake Pad Replacement,Repair,1,188.59,1.5,10,169.73
57,42,Battery Replacement,Repair,1,136.14,0.5,0,136.14
58,43,Transmission Service,Repair,1,227.33,2.5,0,227.33
59,43,Engine Diagnostic,Diagnostic,1,110.57,1.0,0,110.57
60,44,Transmission Service,Repair,1,247.51,2.5,5,235.13
61,44,Tire Replacement (set of 4),Repair,1,577.69,1.5,0,577.69
62,44,Coolant Flush,Maintenance,2,97.9,1.0,0,195.8
63,44,Windshield Wiper Replacement,Maintenance,1,32.77,0.2,0,32.77
64,45,Tire Rotation,Maintenance,1,23.85,0.4,0,23.85
65,46,Engine Diagnostic,Diagnostic,1,105.57,1.0,0,105.57
66,46,Spark Plug Replacement,Repair,1,119.77,1.2,0,119.77
67,48,Engine Diagnostic,Diagnostic,1,91.29,1.0,0,91.29
68,50,Tire Replacement (set of 4),Repair,1,640.36,1.5,0,640.36
69,52,Tire Replacement (set of 4),Repair,1,641.8,1.5,5,609.71
70,52,Windshield Wiper Replacement,Maintenance,1,31.78,0.2,0,31.78
71,53,Spark Plug Replacement,Repair,1,140.6,1.2,0,140.6
72,53,Full Inspection,Diagnostic,1,68.64,0.8,10,61.78
73,53,Oil Change,Maintenance,1,46.31,0.5,0,46.31
74,53,Coolant Flush,Maintenance,1,93.17,1.0,0,93.17
75,54,Tire Replacement (set of 4),Repair,1,681.25,1.5,0,681.25
76,55,Engine Diagnostic,Diagnostic,1,96.77,1.0,0,96.77
77,56,Transmission Service,Repair,1,252.44,2.5,0,252.44
78,56,Oil Change,Maintenance,1,41.38,0.5,0,41.38
79,57,Full Inspection,Diagnostic,1,54.38,0.8,10,48.94
80,57,Transmission Service,Repair,1,285.17,2.5,0,285.17
81,57,Brake Pad Replacement,Repair,1,199.62,1.5,15,169.68
82,58,Coolant Flush,Maintenance,1,102.03,1.0,0,102.03
83,58,Wheel Alignment,Maintenance,1,90.2,1.0,0,90.2
84,59,Wheel Alignment,Maintenance,1,84.9,1.0,10,76.41
85,59,Transmission Service,Repair,1,234.78,2.5,0,234.78
86,59,Battery Replacement,Repair,1,144.38,0.5,0,144.38
87,60,Spark Plug Replacement,Repair,1,134.85,1.2,0,134.85
88,61,Spark Plug Replacement,Repair,1,140.22,1.2,0,140.22
89,62,Wheel Alignment,Maintenance,1,95.85,1.0,0,95.85
90,63,Spark Plug Replacement,Repair,1,126.1,1.2,0,126.1
91,64,Engine Diagnostic,Diagnostic,1,113.87,1.0,5,108.18
92,65,Transmission Service,Repair,1,271.12,2.5,0,271.12
93,66,Spark Plug Replacement,Repair,1,135.02,1.2,5,128.27
94,67,Brake Pad Replacement,Repair,1,189.53,1.5,0,189.53
95,70,Wheel Alignment,Maintenance,1,90.44,,0,90.44
96,70,Windshield Wiper Replacement,Maintenance,1,28.86,0.2,5,27.42
97,70,Tire Replacement (set of 4),Repair,1,613.18,1.5,0,613.18
98,70,Suspension Repair,Repair,1,348.63,3.0,0,348.63
99,71,Engine Diagnostic,Diagnostic,1,90.36,1.0,5,85.84
100,72,Suspension Repair,Repair,1,297.29,3.0,0,297.29
101,72,Tire Replacement (set of 4),Repair,1,565.13,1.5,10,508.62
102,74,Full Inspection,Diagnostic,1,54.61,0.8,0,54.61
103,75,Windshield Wiper Replacement,Maintenance,1,33.42,0.2,0,33.42
104,75,Tire Rotation,Maintenance,2,26.9,0.4,0,53.8
105,76,AC Recharge,Repair,1,122.23,1.0,0,122.23
106,77,AC Recharge,Repair,1,110.94,1.0,0,110.94
107,77,Full Inspection,Diagnostic,1,61.37,0.8,0,61.37
108,78,Brake Pad Replacement,Repair,1,183.31,1.5,0,183.31
109,78,Coolant Flush,Maintenance,1,89.61,1.0,0,89.61
110,78,Windshield Wiper Replacement,Maintenance,1,30.25,0.2,0,30.25
