order_id,customer_id,vehicle_id,branch_id,employee_id,order_date,status,payment_method,customer_rating
1,1813,3449,11,114,2024-05-03,Completed,Cash,2.0
2,764,1038,1,127,2025-01-16,Completed,Credit Card,3.0
3,1659,2783,12,81,2025-12-09,Completed,Financing,
4,1072,111,4,90,2025-06-22,Cancelled,,
5,161,134,8,59,2025-12-11,Completed,Debit Card,3.0
6,416,1651,10,156,2024-01-22,Completed,Insurance,3.0
7,1969,3033,9,71,2023-03-29,Cancelled,,
8,174,120,8,15,2024-03-29,Completed,Cash,
9,2175,6,12,66,2025-03-02,Completed,Cash,
10,2258,3286,12,133,2023-10-17,Completed,Financing,5.0
11,2351,1769,4,102,2024-02-18,In Progress,Insurance,
12,1019,1092,12,10,2025-03-18,In Progress,Debit Card,
13,2557,1990,4,86,2025-08-29,Completed,Credit Card,5.0
14,406,1162,2,6,2023-04-20,In Progress,Insurance,
15,374,1787,1,29,2025-09-16,Cancelled,,
16,974,2443,6,133,2023-08-24,Completed,Insurance,4.0
17,1849,829,9,6,2024-02-07,In Progress,Cash,
18,1572,1031,4,168,2024-10-20,Completed,Insurance,2.0
19,2604,1399,1,165,2024-12-05,Cancelled,,
20,54,1679,1,8,2024-01-16,Cancelled,,
21,397,2163,8,121,2024-11-15,Completed,Credit Card,5.0
22,2173,2787,2,62,2023-11-24,Completed,Insurance,2.0
23,2110,2335,2,119,2023-09-18,Completed,Financing,5.0
24,2423,1219,11,54,2023-07-29,Cancelled,,
25,1325,1018,8,115,04/22/2025,In Progress,Financing,
26,1396,3189,1,12,2025-09-29,Completed,Insurance,3.0
27,1555,488,1,127,2025-05-25,Completed,Insurance,5.0
28,1969,2789,11,69,2024-09-09,Completed,Debit Card,2.0
29,81,1042,9,111,2024-12-20,Completed,Cash,1.0
30,2736,1193,5,132,2023-09-22,Completed,Credit Card,
31,1546,1851,9,170,2025-11-02,Completed,Cash,
32,2962,339,7,84,2025-10-05,Cancelled,,
33,1489,2059,5,11,2024-06-18,In Progress,Financing,
34,1914,1293,12,48,2024-03-17,Completed,Credit Card,3.0
35,2832,1785,1,159,2024-12-01,Completed,Credit Card,
36,1210,1482,3,167,2024-02-28,In Progress,Debit Card,
37,1326,2487,10,57,2025-04-03,Completed,Financing,2.0
38,2567,1008,6,1,2025-03-29,Completed,Credit Card,5.0
39,194,481,6,16,2024-07-17,Cancelled,,
40,678,2797,8,7,2024-03-02,In Progress,Financing,
41,1168,1464,4,84,07/11/2023,Completed,Cash,
42,2003,322,11,10,2025-12-24,Completed,Insurance,2.0
